,text,label
67,tả tiện thiết_kế đẹp mỏng đẹp mẫu cũ gói 24 miếng thấm hút kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
68,giá tốt hàng chất_lượng đóng_gói cẩn_thận ủng_hộ kì hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
69,rat hai long luon luon mua ta o giao hang không lau kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
70,vô_cùng hài_lòng giao hàng nhanh chất kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
71,đóng_gói chán không hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
72,ban_ngày tạm đc ban_đêm nằm tràn ướt,"[0, 0, 0, 1, 0, 0, 0]"
73,sản_phẩm móp không hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
74,chất_lượng sản_phẩm tuyệt_vời y_như mô kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
75,"vẻ nhanh tã dán thấm không tốt dán 4,5 h ướt mông","[0, 0, 0, 1, 0, 0, 0]"
76,đóng_gói chắc_chắn hạn mã giảm_giá mua giá ưu kì hài_lòng,"[1, 1, 0, 0, 0, 1, 0]"
77,tã thấm hút tốt bề_mặt mềm_mại đai thun co_giãn vừa_vặn bé bé chơi_đùa leo_trèo hiếu_động lắm chưa tràn không thua_kém nhãn tã cao_cấp giá_thành hợp_lý tã quần giá ngang_ngửa tã dán hàng tốt giá hợp_lý tất_nhiên ủng_hộ dài_dài phẩm tốt tã quần giá ngang_ngửa tã dán,"[0, 1, 0, 1, 0, 0, 0]"
78,tiki hàng chuẩn tã mỏng mềm thấm hút tốt bé 12kg 75cm 1 hơi to_con xxl thoải,"[0, 0, 1, 1, 0, 0, 0]"
79,tả cực_kì hài_lòng 1 bịch to phẩm tốt chưa mặc thử chưa độ thấm hút như kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
80,không quà tặng kèm,"[0, 0, 0, 0, 1, 0, 0]"
81,sản_phẩm thấm hút tốt tặng kèm mấy miếng chi_phí 1 tương_đối_lòng,"[0, 1, 0, 1, 1, 0, 0]"
82,chưa giao đúng kì hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
83,giao hàng đỉnh tối muộn hôm ngoại kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
84,chất_lượng sản_phẩm tuyệt_vời mua giá 299k không phàn kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
85,đặt_hàng quà tặng kèm không ? không hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
86,sữa nestle bé kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
87,bỉm mùi ghê không mấy mua shop : (,"[0, 0, 0, 1, 0, 0, 0]"
88,kén chỗ mua lắm sợ sữa giả ma tiki yên_tâm tiki tốt tâm mua tiki,"[0, 0, 1, 0, 0, 0, 0]"
89,10.10 mã gia r 91k đơn 1600k mua hẳn 2 lon to giùm giá không không tốt giá shope 962k kèm quà or vnpayqr 100k 985k mã g oke,"[0, 1, 0, 0, 0, 0, 0]"
90,giao quà tặng chia 2 đơn tinh ship 2,"[0, 0, 0, 0, 0, 0, 1]"
91,"hôm_nay bỉm mềm_mại mịn_màng mỏng chưa khả_năng thấm hút loại rẻ_tiền công_nhận tiền mua giá ưu_đãi 6,5 k 1 bỉm chấp_nhận dc đóng_gói chắc_chắn xe_hơi hàng tặng hôm r bỉm ưng khâu vận","[1, 1, 0, 1, 1, 0, 0]"
92,giao hàng nhanh kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
93,tã thấm hút tốt giá hợp_lí quà tặng lo tốt,"[0, 1, 0, 1, 1, 0, 0]"
94,bình_thường dạo chất_lượng huggies tệ ( mua siêu_thị cửa_hàng mẹ bé ) bobby m oke,"[0, 0, 0, 0, 0, 0, 1]"
95,sp tot chất_lượng như hình đóng_gói kỹ gửi hàng tot,"[1, 0, 0, 1, 0, 0, 0]"
96,rẻ hiện mua cửa_hàng hàng chất_lượng như thưong hiệu ủng_hộ lâu_dài tiki ful 5 baby,"[0, 1, 0, 1, 0, 0, 0]"
97,đóng_gói chắc_chắn thấm hút tốt không mẩm kì hài_lòng,"[1, 0, 0, 1, 0, 1, 0]"
98,sản_phẩm_chất_lượng chưa hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
99,sản_phẩm kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
100,hàng giao oke hài_lòng mong tiki cố_gắng giao hàng chất_lượng như hoài nha_mìn cảm_kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
101,bé tè tã vốn cục không hài hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
102,đúng hàng vải kì hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
103,tràn vón không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
104,bỉm hạn đóng_gói cẩn_thận kích_thước l trẻ 9kg 14kg bé 10.5 kg mặc_cảm_giác chật ( bobby l mặc thoải_mái ) bobby mùi hương dễ_chịu vốn cục 2 đều không tràn ý_kiến tả bobby chất_lượng xét sản_phẩm bobby,"[1, 0, 0, 1, 0, 1, 0]"
105,giao hàng nhanh chưa chưa tn sờ bỉm ghê ghê khô hạt đc mỏng bỉm mềm kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
106,3 gói tặng 1 bập_bênh chất_lượng tã tốt giao tốc_độ quà tặng hơi ọp kì hài_lòng,"[1, 0, 0, 1, 1, 0, 0]"
107,ok nhân_viên tiki giao hàng nhiệt kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
108,ok kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
109,sản_phẩm không như thông_tin đăng mua tả l120 không hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
110,tiki giao hàng nhanh giá 240k hợp kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
111,sản_phẩm hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
112,hàng balo đẹp đường may hàng nhanh kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
113,hàng đúng chất kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
114,không mua ủ không hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
115,mua sữa tiki tiki cung_cấp sản_phẩm chất_lượng hạn đóng_gói cẩn_thận giao nhanh như tia chớp 9h 9h30 hài_lòng chấm 10 phâmt tốt chất_lượng,"[1, 0, 0, 1, 0, 1, 0]"
116,tiki gói hàng liền bé bobby xxl đổi pamper kích_thước tả bé mặc chật hằn dấu da ... bé 16kg hà kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
117,kia bỉm bỉm kia tặng gấu tặng chăn tặng xe trung_thành bỉm bỉm nỏng không vón vạch bão không thấm tiki bôk 3 bịch không tặng chất_lượng bỉm,"[0, 0, 0, 1, 1, 0, 0]"
118,hàng hoàn tiền sản_phẩm mua bé giao sai sp mô_tả sản_phẩm ghi xuất_xứ việt nam sản_phẩm giao x trung quốc k đảm_bảo chất_lượng mong tiki tiến_hành bc hoàn_trả sản_phẩm dùm hàng hoàn tiền,"[0, 0, 0, 0, 1, 1, 0]"
119,sản_phẩm tốt giao nhanh đống gối cẩn_thận e ủng_hộ tốt,"[1, 0, 0, 1, 0, 0, 0]"
120,bobby 2 nhóc mua tiki đóng_gói cẩn_thận ship nhanh tiki hơi thất_vọng ngạc_nhiên dán băng_keo đường túi 1 đoạn bỉm không túi phân_phối tiki không hài_lòng bỉm đóng_gói đảm_bảo_vệ_sinh ! mong tiki thông_tin phản_hồi giúp,"[1, 0, 0, 0, 1, 1, 0]"
121,pam sinh 1 mua duy_nhất hàng hãng tiki cung_cấp hàng thất_vọng kinh_khủng combo xl62 x 3 k kích_thước lớn bỉm mỏng như thùng lô hàng gửi bỉm mùi mặc bé chưa kịp thay lớp mặt bỉm xù rách đều hàng lô nhật bỉm hơi dày không mùi bé ngủ đêm tràn không mùi hàng philip kém chất_lượng đề_nghị tiki không nhập hàng chất_lượng kém thực hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
122,đóng_gói sản_phẩm chắc_chắn chất_lượng ok kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
123,mua 2 gói lớn không quà giao hàng kì hài_lòng,"[1, 0, 0, 0, 1, 0, 0]"
124,san phẩm mặt không hâm rat kì hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
125,sản_phẩm như mô_tả tiki quấn băng_keo chặt mãi xong tàu_hoả gỗ,"[1, 0, 1, 0, 1, 0, 0]"
126,ok lắm màu hàng nhanh lắm kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
127,tốt giao hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
128,hài_lòng giá tiền bỉm kích_thước to bỉm pampers một kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
129,sữa quà tặng kèm góp_ý quà tặng mua con_trai tặng xe màu hồng tiki liên_hệ đối_tác kh lựa_chọn thay_vì bắt_buộc kh sản_phẩm tặng không bé tks khong lua chon duoc mau sac tang,"[0, 0, 0, 0, 1, 0, 0]"
130,giao hàng nhanh ! sản_phẩm đóng_gói cẩn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
131,giá ok date nhân_viên giao hàng vui_vẻ sẳn sữa dr lucen 3 hạn giá ok nhân_viên giao hàng vui_vẻ thùng giấy cấn 2 hộp sữa móp tra tiki cẩn_thận cám_lòng,"[1, 1, 0, 0, 0, 1, 0]"
132,chất_lượng đúng như mô kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
133,giao hàng nhanh đóng_gói cẩn_thận giá_cả okue nha kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
134,bịch tã dơ không ưng tý phí ship nũa mua lầ không mua chỗ không hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
135,giao hàng nhanh_chóng đúng như quảng_kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
136,tã mềm thấm hút tốt không giao hàng nhanh chiều_hôm hôm giao hàng tỉnh_lẻ khuyến_mãi 3 gói ( 12 miếng ) tiện hài_lòng,"[1, 0, 0, 1, 1, 0, 0]"
137,sản_phẩm tốt như mong_đợi giao hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
138,giao hàng nhanh sản_phẩm đóng_gói chắc_chắn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
139,hàng_y hình ủng_hộ shop tiki kì hài_lòng,"[0, 0, 1, 0, 0, 0, 0]"
140,tã quần_bobby gói cực_đại_l54 ( 54 miếng ) chat luong kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
141,sản_xuất 11 / 2020 giao hàng sx không hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
142,hài_lòng sản_phẩm kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
143,giao hàng đúng hẹn đóng_gói cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
144,sản_phẩm ok lắp_ráp bé giao hàng,"[0, 0, 0, 0, 0, 0, 0]"
145,tin_dùng huggies mua tiki shipper chỗ quen ơn huggies quần huggies,"[0, 0, 0, 0, 0, 0, 1]"
146,chất_lượng,"[0, 0, 0, 1, 0, 0, 0]"
147,sản_phẩm tốt giá rẻ trừ cám kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
148,bao_bì sản_phẩm oke kì hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
149,giá tốt hạn hàng chuẩn mùi thơm dịu nhẹ kì hài_lòng,"[0, 1, 1, 1, 0, 1, 0]"
150,giao hàng nhanh giá hợp,"[1, 1, 0, 0, 0, 0, 0]"
151,chế_độ giao now 2 - 3h 10h hôm giao liên_lạc cskh đặt_hàng 13 : 0 giao hôm thất_vọng tiki mục ghi_chú 13 : 0 giao hôm quyết_định tốt,"[1, 0, 0, 0, 0, 0, 0]"
152,mua tã bobby tiki đầu mã giảm_giá 10 % giá tốt mua một 3 gói tã sinh trải kích_thước dừng kích_thước xl. tã thấm hút tốt thun co_giãn không đau bé hiện 1 bé 4 miếng ( bé 19 tốt,"[0, 1, 0, 1, 0, 0, 0]"
153,sp hình_như r không vạch ướt bỉm chưa mua kích_thước s to bé sơ_sinh huggie oke giá không chênh_lệch,"[0, 0, 0, 1, 0, 1, 0]"
154,balo xinh bé 4t sữa hạn vận_chuyển nhanh hộp nguyên không móp kì hài_lòng,"[1, 0, 0, 0, 0, 1, 0]"
155,túi thần_kỳ chất_lượng tốt giá_cả bag,"[0, 0, 0, 0, 0, 0, 0]"
156,loại giao loại hoạ_tiết khăn cứng nghị hàng monv tiki hỗ sai hàng,"[0, 0, 0, 0, 1, 0, 0]"
157,sản_phẩm_chất_lượng tốt đóng_gói cẩn_thận giao hàng nhanh shipber nhiệt_tình ủng_hộ shop kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
158,sản_phẩm hàng vỡ zay vận_chuyển móp hộp,"[1, 0, 0, 0, 0, 0, 0]"
159,mặt_hàng hơi lớn không,"[0, 0, 0, 1, 0, 0, 0]"
160,sữa chất_lượng hài_lòng đóng_gói chắc_chắn mua hi_vọng shop tặng quà bé thú tặng dễ_thương kì hài_lòng,"[1, 0, 0, 1, 1, 0, 0]"
161,hộp sữa bẩn bám bụi vòng_quanh tiki lai cách_thức đóng,"[1, 0, 0, 0, 0, 0, 0]"
162,tã tốt không hăm giá rẻ chất kì hài_lòng,"[0, 1, 0, 1, 0, 1, 0]"
163,giao hàng cực nhanh đóng_gói chắc_chắn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
164,sản_phẩm tốt hãng bé mặc thoải_mái thanks,"[0, 0, 1, 1, 0, 0, 0]"
165,hàng hình chất_lượng xài bt kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
166,hiệu bé sinh kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
167,sản_phẩm ok hạn,"[0, 0, 0, 1, 0, 1, 0]"
168,sữa hạn hàng hãng giá rẻ thị kì hài_lòng,"[0, 1, 1, 0, 0, 1, 0]"
169,sử kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
170,quan_điểm hài_lòng tả ổn giá tiền tả mỏng nhẹ thuận_tiện dải báo tiểu miếng dán tả xong merries loại tả kích_cỡ bé 8.5 kg tả kích_thước l pamper hơi chật hằn đỏ tả merries không hằn,"[0, 1, 0, 1, 0, 0, 0]"
171,mua bỉm không bn r hài kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
172,sản_phẩm 2 tuần trà rửa 2 bình cổ hẹp 60ml brown ) hút sữa đôi : - bình sưả hẹp không - rửa dx núm vú 1 đường_ống máy hút sữa - ít biến_dạng ban_đầu tốt vòng 1.5 không bẩn mọt vết thâm bẩn mọt vết thâm : - giá hơi 1 chút - đầu hơi tua 1 chút - ban_đầu rửa cảm_giác rửa không phẩm tốt,"[0, 0, 0, 0, 0, 0, 0]"
173,bé 16 bé đi ngủ không tràn bỉm,"[0, 0, 0, 0, 0, 0, 1]"
174,mua lần2 hàng nhanh chất_lượng oki tội combo 3 không quà kì hài_lòng,"[1, 0, 0, 1, 1, 0, 0]"
175,giao hàng nhanh chất_lượng tã như mua cưng tiki_lòng,"[1, 0, 0, 1, 0, 0, 0]"
176,sp tốt đêm bé không kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
177,ok hàng hãng giao hàng kì hài_lòng,"[1, 0, 1, 0, 0, 0, 0]"
178,thùng tã không quà khuyến_mại mua hoá_đơn 899k quà tặng hàng nhân_viên giao hàng bảo nhiêu hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
179,tả tốt giá,"[0, 1, 0, 1, 0, 0, 0]"
180,bỉm hãng giá ưu_đãi giao hàng siêu nhanh hộ huggies mê myla,"[1, 1, 1, 0, 0, 0, 0]"
181,quảng_cáo tặng gói 20 miếng gửi hàng không ! bọn hàng online như ! không hài_lòng đầu dê thịt chó !,"[0, 0, 0, 0, 1, 0, 0]"
182,bỉm thấm đêm tốt không tràn đỏ kì hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
183,hàng đúng mô_tả giao hàng nhanh đóng_gói tốt chất_lượng tốt ủng_hộ shop,"[1, 0, 1, 1, 0, 0, 0]"
184,mua nhju lan r trừ oke trừ hok bjk shop co khach hang thân_thiện them u dai hok kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
185,sản_phẩm tốt giao hàng nhanh đóng_gói cẩn_thận ủng_hộ tiki phẩm tốt giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
186,form hơi ( tã nhật ) bé mông hơi tròn như mẹ mua size thấm hút tàm_tạm mặc ban_ngày 3 - 4 tiếng thay 1 okie mặc đêm không ổn lắm không thấm hút hoàn,"[0, 0, 0, 1, 0, 0, 0]"
187,ưng kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
188,ổn vận_chuyển shop phát,"[1, 0, 0, 0, 0, 0, 0]"
189,tạm tã mỏng nặng_mùi không hài_lòng mùi,"[0, 0, 0, 1, 0, 0, 0]"
190,bỉm thấm hút tốt giá_thành rẻ giao hàng nhanh lưng thun hơi rộng bỉm nhanh,"[1, 1, 0, 1, 0, 0, 0]"
191,đọc bình_luận phân_vân mua bình_luận báo giao thiếu_vậy seller khắc_phục hàng y chang đồ tức trừ cọ rửa ống hút,"[0, 0, 0, 0, 1, 0, 0]"
192,giá tốt tốt bỉm mỏng nhẹ ôm dáng không cộm kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
193,sản_phẩm nguyên niêm_phong 1 / 2 chai : ) ) ) da nhạy_cảm nổi mẫn ngứa oke nha_trừ da khoẻ bé 5t tiki đóng_gói kỹ giao hàng đúng phẩm,"[0, 0, 0, 0, 0, 0, 0]"
194,giao hàng nhanh chất_lượng bỉm chán mặc sợi bỉm dính ngược_lại bỉm,"[1, 0, 0, 1, 0, 0, 0]"
195,giá sale kì hài_lòng,"[0, 1, 0, 0, 0, 0, 0]"
196,hàng đóng_gói tốt giáo hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
197,hài_lòng sản_phẩm giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
198,đặt_hàng giao nhanh giao chậm,"[1, 0, 0, 0, 0, 0, 0]"
199,mua tiki luc nao cung yen tam giao hang thi xai kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
